,symbol,metric,value
1418,FMC,Bid,103.75 x 900
1419,FMC,Ask,103.80 x 1000
1420,FMC,Day's Range,102.51 - 105.33
1421,FMC,52 Week Range,87.27 - 123.66
1422,FMC,Volume,"597,609"
1423,FMC,Avg. Volume,"1,024,109"
1424,F,Previous Close,19.87
1425,F,Open,20.37
1426,F,Bid,19.10 x 4000
1427,F,Ask,19.16 x 3000
1428,F,Day's Range,18.93 - 20.40
1429,F,52 Week Range,8.43 - 20.79
1430,F,Volume,"118,193,269"
1431,F,Avg. Volume,"88,127,771"
1432,FTNT,Previous Close,313.11
1433,FTNT,Open,310.88
1434,FTNT,Bid,300.00 x 1800
1435,FTNT,Ask,303.69 x 800
1436,FTNT,Day's Range,296.67 - 313.25
1437,FTNT,52 Week Range,124.16 - 355.35
1438,FTNT,Volume,"2,089,788"
1439,FTNT,Avg. Volume,"961,320"
1440,FTV,Previous Close,78.25
1441,FTV,Open,78.48
1442,FTV,Bid,77.62 x 1100
1443,FTV,Ask,78.04 x 1300
1444,FTV,Day's Range,77.86 - 78.86
1445,FTV,52 Week Range,64.58 - 79.58
1446,FTV,Volume,"1,745,815"
1447,FTV,Avg. Volume,"2,064,500"
1448,FBHS,Previous Close,102.36
1449,FBHS,Open,103.67
1450,FBHS,Bid,102.54 x 900
1451,FBHS,Ask,102.56 x 1100
1452,FBHS,Day's Range,101.80 - 104.30
1453,FBHS,52 Week Range,79.19 - 114.01
1454,FBHS,Volume,"421,512"
1455,FBHS,Avg. Volume,"815,118"
1456,FOXA,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1457,FOX,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1458,BEN,Previous Close,33.14
1459,BEN,Open,33.81
1460,BEN,Bid,33.79 x 900
1461,BEN,Ask,33.80 x 900
1462,BEN,Day's Range,33.17 - 34.01
1463,BEN,52 Week Range,21.89 - 38.27
1464,BEN,Volume,"1,859,840"
1465,BEN,Avg. Volume,"2,642,260"
1466,FCX,Previous Close,37.10
1467,FCX,Open,37.07
1468,FCX,Bid,36.45 x 2200
1469,FCX,Ask,36.65 x 800
1470,FCX,Day's Range,35.61 - 37.51
1471,FCX,52 Week Range,23.77 - 46.10
1472,FCX,Volume,"20,132,845"
1473,FCX,Avg. Volume,"20,657,679"
1474,GPS,Previous Close,16.30
1475,GPS,Open,16.25
1476,GPS,Bid,16.57 x 2200
1477,GPS,Ask,16.70 x 1800
1478,GPS,Day's Range,16.07 - 16.77
1479,GPS,52 Week Range,15.84 - 37.63
1480,GPS,Volume,"10,492,051"
1481,GPS,Avg. Volume,"9,222,214"
1482,GRMN,Previous Close,134.03
1483,GRMN,Open,134.13
1484,GRMN,Bid,135.12 x 1300
1485,GRMN,Ask,135.19 x 1100
1486,GRMN,Day's Range,133.71 - 136.04
1487,GRMN,52 Week Range,113.59 - 178.81
1488,GRMN,Volume,"950,616"
1489,GRMN,Avg. Volume,"818,430"
1490,IT,Previous Close,332.04
1491,IT,Open,332.66
1492,IT,Bid,333.42 x 800
1493,IT,Ask,333.98 x 800
1494,IT,Day's Range,331.86 - 335.08
1495,IT,52 Week Range,149.74 - 369.00
1496,IT,Volume,"31,462"
1497,IT,Avg. Volume,"517,984"
1498,GNRC,Previous Close,406.46
1499,GNRC,Open,401.00
1500,GNRC,Bid,385.82 x 900
1501,GNRC,Ask,405.08 x 1400
1502,GNRC,Day's Range,383.67 - 407.29
1503,GNRC,52 Week Range,202.56 - 524.31
1504,GNRC,Volume,"1,030,803"
1505,GNRC,Avg. Volume,"671,174"
1506,GD,Previous Close,194.48
1507,GD,Open,194.71
1508,GD,Bid,197.15 x 1000
1509,GD,Ask,197.11 x 800
1510,GD,Day's Range,194.56 - 198.06
1511,GD,52 Week Range,144.50 - 210.21
1512,GD,Volume,"1,318,790"
1513,GD,Avg. Volume,"957,901"
1514,GE,Previous Close,95.23
1515,GE,Open,95.13
1516,GE,Bid,92.67 x 1100
1517,GE,Ask,92.72 x 1100
1518,GE,Day's Range,91.73 - 95.35
1519,GE,52 Week Range,82.88 - 116.17
1520,GE,Volume,"8,070,935"
1521,GE,Avg. Volume,"8,166,793"
1522,GIS,Previous Close,62.86
1523,GIS,Open,63.19
1524,GIS,Bid,63.80 x 800
1525,GIS,Ask,64.07 x 800
1526,GIS,Day's Range,63.08 - 64.24
1527,GIS,52 Week Range,53.96 - 64.65
1528,GIS,Volume,"3,853,699"
1529,GIS,Avg. Volume,"3,540,800"
1530,GM,Previous Close,61.02
1531,GM,Open,61.24
1532,GM,Bid,59.72 x 800
1533,GM,Ask,59.60 x 1200
1534,GM,Day's Range,58.87 - 61.69
1535,GM,52 Week Range,40.04 - 65.18
1536,GM,Volume,"19,578,555"
1537,GM,Avg. Volume,"18,593,680"
1538,GPC,Previous Close,132.38
1539,GPC,Open,133.35
1540,GPC,Bid,133.82 x 900
1541,GPC,Ask,133.92 x 800
1542,GPC,Day's Range,131.96 - 134.25
1543,GPC,52 Week Range,93.62 - 139.11
1544,GPC,Volume,"343,090"
1545,GPC,Avg. Volume,"552,922"
1546,GILD,Previous Close,69.67
1547,GILD,Open,70.00
1548,GILD,Bid,69.01 x 900
1549,GILD,Ask,69.63 x 800
1550,GILD,Day's Range,69.31 - 70.43
1551,GILD,52 Week Range,56.56 - 73.34
1552,GILD,Volume,"7,724,164"
1553,GILD,Avg. Volume,"6,903,052"
1554,GL,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1555,GPN,Previous Close,121.81
1556,GPN,Open,122.20
1557,GPN,Bid,120.32 x 800
1558,GPN,Ask,124.00 x 900
1559,GPN,Day's Range,118.08 - 122.51
1560,GPN,52 Week Range,116.75 - 220.81
1561,GPN,Volume,"3,320,248"
1562,GPN,Avg. Volume,"2,765,057"
1563,GS,Previous Close,387.54
1564,GS,Open,389.88
1565,GS,Bid,382.91 x 800
1566,GS,Ask,383.50 x 1000
1567,GS,Day's Range,379.03 - 389.88
1568,GS,52 Week Range,235.45 - 426.16
1569,GS,Volume,"2,805,771"
1570,GS,Avg. Volume,"2,511,222"
1571,GWW,Previous Close,484.61
1572,GWW,Open,486.48
1573,GWW,Bid,0.00 x 900
1574,GWW,Ask,0.00 x 1200
1575,GWW,Day's Range,483.74 - 491.27
1576,GWW,52 Week Range,356.23 - 491.27
1577,GWW,Volume,"120,130"
1578,GWW,Avg. Volume,"240,417"
1579,HAL,Previous Close,22.02
1580,HAL,Open,22.37
1581,HAL,Bid,21.84 x 1800
1582,HAL,Ask,22.15 x 1000
1583,HAL,Day's Range,21.69 - 22.56
1584,HAL,52 Week Range,17.23 - 26.75
1585,HAL,Volume,"8,933,002"
1586,HAL,Avg. Volume,"9,567,782"
1587,HBI,Previous Close,16.44
1588,HBI,Open,16.55
1589,HBI,Bid,16.56 x 1300
1590,HBI,Ask,16.57 x 1800
1591,HBI,Day's Range,16.30 - 16.62
1592,HBI,52 Week Range,13.66 - 22.82
1593,HBI,Volume,"2,322,443"
1594,HBI,Avg. Volume,"4,275,483"
1595,HIG,Previous Close,73.18
1596,HIG,Open,73.00
1597,HIG,Bid,0.00 x 800
1598,HIG,Ask,0.00 x 1200
1599,HIG,Day's Range,71.67 - 73.39
1600,HIG,52 Week Range,43.93 - 78.17
1601,HIG,Volume,"1,515,867"
1602,HIG,Avg. Volume,"1,887,128"
1603,HAS,Previous Close,99.83
1604,HAS,Open,100.00
1605,HAS,Bid,100.50 x 800
1606,HAS,Ask,100.51 x 800
1607,HAS,Day's Range,99.33 - 100.60
1608,HAS,52 Week Range,86.05 - 104.89
1609,HAS,Volume,"580,783"
1610,HAS,Avg. Volume,"730,817"
1611,HCA,Previous Close,229.92
1612,HCA,Open,228.84
1613,HCA,Bid,218.00 x 900
1614,HCA,Ask,225.36 x 900
1615,HCA,Day's Range,224.72 - 230.67
1616,HCA,52 Week Range,149.75 - 263.92
1617,HCA,Volume,"2,891,545"
1618,HCA,Avg. Volume,"1,398,317"
1619,PEAK,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1620,HSIC,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1621,HSY,Previous Close,176.69
1622,HSY,Open,178.03
1623,HSY,Bid,178.95 x 900
1624,HSY,Ask,178.99 x 800
1625,HSY,Day's Range,177.74 - 179.93
1626,HSY,52 Week Range,143.58 - 183.73
1627,HSY,Volume,"852,526"
1628,HSY,Avg. Volume,"885,565"
1629,HES,Previous Close,76.04
1630,HES,Open,78.44
1631,HES,Bid,76.08 x 900
1632,HES,Ask,76.13 x 1000
1633,HES,Day's Range,75.82 - 79.06
1634,HES,52 Week Range,46.88 - 92.79
1635,HES,Volume,"1,912,932"
1636,HES,Avg. Volume,"2,096,349"
1637,HPE,Previous Close,14.99
1638,HPE,Open,15.12
1639,HPE,Bid,15.03 x 1000
1640,HPE,Ask,15.39 x 1200
1641,HPE,Day's Range,14.90 - 15.64
1642,HPE,52 Week Range,11.53 - 16.74
1643,HPE,Volume,"18,042,926"
1644,HPE,Avg. Volume,"10,916,425"
1645,HLT,Previous Close,129.96
1646,HLT,Open,131.66
1647,HLT,Bid,135.85 x 900
1648,HLT,Ask,137.13 x 1000
1649,HLT,Day's Range,130.97 - 140.57
1650,HLT,52 Week Range,98.57 - 154.40
1651,HLT,Volume,"3,150,678"
1652,HLT,Avg. Volume,"2,093,032"
1653,HOLX,Previous Close,76.83
1654,HOLX,Open,76.25
1655,HOLX,Bid,76.02 x 1000
1656,HOLX,Ask,79.00 x 1000
1657,HOLX,Day's Range,75.50 - 77.28
1658,HOLX,52 Week Range,60.10 - 85.00
1659,HOLX,Volume,"1,267,680"
1660,HOLX,Avg. Volume,"1,476,790"
1661,HD,Previous Close,407.77
1662,HD,Open,409.85
1663,HD,Bid,407.80 x 900
1664,HD,Ask,407.99 x 900
1665,HD,Day's Range,404.45 - 415.93
1666,HD,52 Week Range,246.59 - 416.56
1667,HD,Volume,"5,235,614"
1668,HD,Avg. Volume,"3,276,146"
1669,HON,Previous Close,204.00
1670,HON,Open,204.01
1671,HON,Bid,202.02 x 900
1672,HON,Ask,203.56 x 900
1673,HON,Day's Range,201.00 - 204.48
1674,HON,52 Week Range,194.55 - 236.86
1675,HON,Volume,"3,545,862"
1676,HON,Avg. Volume,"2,414,026"
1677,HRL,Previous Close,41.96
1678,HRL,Open,42.10
1679,HRL,Bid,42.69 x 1800
1680,HRL,Ask,42.87 x 1000
1681,HRL,Day's Range,42.10 - 42.85
1682,HRL,52 Week Range,40.48 - 50.86
1683,HRL,Volume,"2,019,361"
1684,HRL,Avg. Volume,"2,238,252"
1685,HST,Previous Close,17.52
1686,HST,Open,16.55
1687,HST,Bid,15.60 x 900
1688,HST,Ask,15.61 x 3100
1689,HST,Day's Range,15.57 - 16.61
1690,HST,52 Week Range,13.16 - 19.02
1691,HST,Volume,"5,447,659"
1692,HST,Avg. Volume,"6,891,444"
1693,HWM,Previous Close,31.32
1694,HWM,Open,31.02
1695,HWM,Bid,29.92 x 1400
1696,HWM,Ask,30.40 x 800
1697,HWM,Day's Range,29.92 - 31.08
1698,HWM,52 Week Range,22.91 - 36.03
1699,HWM,Volume,"3,956,328"
1700,HWM,Avg. Volume,"2,509,723"
1701,HPQ,Previous Close,37.64
1702,HPQ,Open,37.86
1703,HPQ,Bid,37.60 x 1100
1704,HPQ,Ask,37.96 x 1300
1705,HPQ,Day's Range,37.14 - 38.49
1706,HPQ,52 Week Range,22.85 - 38.49
1707,HPQ,Volume,"15,728,875"
1708,HPQ,Avg. Volume,"9,896,749"
1709,HUM,Previous Close,428.49
1710,HUM,Open,431.51
1711,HUM,Bid,410.68 x 1100
1712,HUM,Ask,430.80 x 900
1713,HUM,Day's Range,423.63 - 431.75
1714,HUM,52 Week Range,370.22 - 475.44
1715,HUM,Volume,"453,694"
1716,HUM,Avg. Volume,"765,995"
1717,HBAN,Previous Close,15.23
1718,HBAN,Open,15.19
1719,HBAN,Bid,14.92 x 1000
1720,HBAN,Ask,14.97 x 3200
1721,HBAN,Day's Range,14.77 - 15.26
1722,HBAN,52 Week Range,12.00 - 16.91
1723,HBAN,Volume,"14,143,919"
1724,HBAN,Avg. Volume,"11,238,692"
1725,HII,Previous Close,183.27
1726,HII,Open,184.80
1727,HII,Bid,181.33 x 800
1728,HII,Ask,181.75 x 800
1729,HII,Day's Range,181.45 - 184.74
1730,HII,52 Week Range,156.36 - 224.13
1731,HII,Volume,"38,206"
1732,HII,Avg. Volume,"246,053"
1733,IEX,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1734,IDXX,Previous Close,599.01
1735,IDXX,Open,603.36
1736,IDXX,Bid,586.03 x 1100
1737,IDXX,Ask,587.00 x 1100
1738,IDXX,Day's Range,575.59 - 605.49
1739,IDXX,52 Week Range,447.82 - 706.95
1740,IDXX,Volume,"417,144"
1741,IDXX,Avg. Volume,"391,453"
1742,INFO,Previous Close,131.75
1743,INFO,Open,131.69
1744,INFO,Bid,0.00 x 800
1745,INFO,Ask,0.00 x 800
1746,INFO,Day's Range,126.48 - 131.62
1747,INFO,52 Week Range,83.26 - 132.35
1748,INFO,Volume,"1,864,413"
1749,INFO,Avg. Volume,"2,230,235"
1750,ITW,Previous Close,234.75
1751,ITW,Open,236.65
1752,ITW,Bid,237.93 x 1400
1753,ITW,Ask,238.05 x 800
1754,ITW,Day's Range,235.22 - 238.94
1755,ITW,52 Week Range,192.89 - 244.45
1756,ITW,Volume,"826,957"
1757,ITW,Avg. Volume,"932,739"
1758,ILMN,Previous Close,357.48
1759,ILMN,Open,360.56
1760,ILMN,Bid,339.01 x 800
1761,ILMN,Ask,347.61 x 1200
1762,ILMN,Day's Range,341.03 - 362.49
1763,ILMN,52 Week Range,335.68 - 555.77
1764,ILMN,Volume,"1,148,479"
1765,ILMN,Avg. Volume,"857,587"
1766,INCY,Previous Close,64.96
1767,INCY,Open,64.91
1768,INCY,Bid,0.00 x 800
1769,INCY,Ask,0.00 x 900
1770,INCY,Day's Range,63.40 - 66.78
1771,INCY,52 Week Range,61.91 - 101.47
1772,INCY,Volume,"2,368,906"
1773,INCY,Avg. Volume,"1,962,603"
1774,IR,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1775,INTC,Previous Close,49.50
1776,INTC,Open,49.67
1777,INTC,Bid,49.18 x 3100
1778,INTC,Ask,49.25 x 1100
1779,INTC,Day's Range,48.76 - 50.06
1780,INTC,52 Week Range,45.24 - 68.49
1781,INTC,Volume,"32,224,930"
1782,INTC,Avg. Volume,"27,919,934"
1783,ICE,Previous Close,129.68
1784,ICE,Open,130.72
1785,ICE,Bid,129.88 x 800
1786,ICE,Ask,132.32 x 800
1787,ICE,Day's Range,130.51 - 132.61
1788,ICE,52 Week Range,105.64 - 139.79
1789,ICE,Volume,"2,228,407"
1790,ICE,Avg. Volume,"2,302,234"
1791,IBM,Previous Close,116.90
1792,IBM,Open,117.36
1793,IBM,Bid,119.05 x 1300
1794,IBM,Ask,119.05 x 1000
1795,IBM,Day's Range,117.36 - 119.36
1796,IBM,52 Week Range,112.20 - 146.12
1797,IBM,Volume,"5,917,711"
1798,IBM,Avg. Volume,"5,736,501"
1799,IP,Previous Close,45.13
1800,IP,Open,45.41
1801,IP,Bid,45.75 x 1000
1802,IP,Ask,45.78 x 800
1803,IP,Day's Range,45.08 - 45.91
1804,IP,52 Week Range,44.02 - 61.81
1805,IP,Volume,"2,106,623"
1806,IP,Avg. Volume,"2,743,356"
1807,IPG,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1808,IFF,Previous Close,151.13
1809,IFF,Open,151.20
1810,IFF,Bid,150.48 x 1000
1811,IFF,Ask,150.51 x 800
1812,IFF,Day's Range,148.90 - 151.70
1813,IFF,52 Week Range,103.94 - 157.08
1814,IFF,Volume,"842,092"
1815,IFF,Avg. Volume,"1,293,587"
1816,INTU,Previous Close,672.12
1817,INTU,Open,671.43
1818,INTU,Bid,640.00 x 1000
1819,INTU,Ask,667.44 x 800
1820,INTU,Day's Range,634.99 - 673.45
1821,INTU,52 Week Range,357.45 - 716.86
1822,INTU,Volume,"2,262,992"
1823,INTU,Avg. Volume,"1,385,892"
1824,ISRG,Previous Close,327.32
1825,ISRG,Open,329.20
1826,ISRG,Bid,321.66 x 800
1827,ISRG,Ask,325.28 x 900
1828,ISRG,Day's Range,313.69 - 329.99
1829,ISRG,52 Week Range,227.47 - 369.69
1830,ISRG,Volume,"2,450,568"
1831,ISRG,Avg. Volume,"1,619,322"
1832,IVZ,Previous Close,23.13
1833,IVZ,Open,23.44
1834,IVZ,Bid,23.25 x 1400
1835,IVZ,Ask,23.26 x 1200
1836,IVZ,Day's Range,22.75 - 23.58
1837,IVZ,52 Week Range,16.19 - 29.71
1838,IVZ,Volume,"3,901,062"
1839,IVZ,Avg. Volume,"3,989,880"
1840,IPGP,Previous Close,175.66
1841,IPGP,Open,172.66
1842,IPGP,Bid,168.45 x 800
1843,IPGP,Ask,170.20 x 900
1844,IPGP,Day's Range,168.00 - 172.82
1845,IPGP,52 Week Range,151.27 - 262.55
1846,IPGP,Volume,"451,010"
1847,IPGP,Avg. Volume,"333,567"
1848,IQV,Previous Close,268.17
1849,IQV,Open,269.11
1850,IQV,Bid,268.50 x 1000
1851,IQV,Ask,268.87 x 1100
1852,IQV,Day's Range,266.11 - 269.60
1853,IQV,52 Week Range,165.52 - 272.25
1854,IQV,Volume,"268,938"
1855,IQV,Avg. Volume,"699,879"
1856,IRM,Previous Close,47.03
1857,IRM,Open,47.18
1858,IRM,Bid,46.69 x 800
1859,IRM,Ask,46.86 x 1000
1860,IRM,Day's Range,46.31 - 47.35
1861,IRM,52 Week Range,27.72 - 49.58
1862,IRM,Volume,"1,323,264"
1863,IRM,Avg. Volume,"1,555,468"
1864,JKHY,Previous Close,159.04
1865,JKHY,Open,159.42
1866,JKHY,Bid,75.73 x 1100
1867,JKHY,Ask,161.88 x 900
1868,JKHY,Day's Range,158.41 - 162.50
1869,JKHY,52 Week Range,141.65 - 179.98
1870,JKHY,Volume,"610,130"
1871,JKHY,Avg. Volume,"405,625"
1872,J,Previous Close,148.45
1873,J,Open,145.04
1874,J,Bid,146.27 x 1200
1875,J,Ask,145.73 x 800
1876,J,Day's Range,144.08 - 146.74
1877,J,52 Week Range,100.05 - 149.55
1878,J,Volume,"508,561"
1879,J,Avg. Volume,"536,846"
1880,JBHT,Previous Close,199.21
1881,JBHT,Open,199.07
1882,JBHT,Bid,200.89 x 800
1883,JBHT,Ask,201.07 x 800
1884,JBHT,Day's Range,199.07 - 201.08
1885,JBHT,52 Week Range,129.60 - 202.49
1886,JBHT,Volume,"112,758"
1887,JBHT,Avg. Volume,"510,639"
1888,SJM,Previous Close,130.95
1889,SJM,Open,131.22
1890,SJM,Bid,129.62 x 900
1891,SJM,Ask,129.55 x 800
1892,SJM,Day's Range,129.17 - 131.60
1893,SJM,52 Week Range,110.53 - 140.65
1894,SJM,Volume,"730,580"
1895,SJM,Avg. Volume,"772,938"
1896,JNJ,Previous Close,157.09
1897,JNJ,Open,157.91
1898,JNJ,Bid,159.38 x 800
1899,JNJ,Ask,159.90 x 1300
1900,JNJ,Day's Range,157.59 - 159.67
1901,JNJ,52 Week Range,148.51 - 179.92
1902,JNJ,Volume,"8,488,028"
1903,JNJ,Avg. Volume,"7,119,796"
1904,JCI,Previous Close,74.97
1905,JCI,Open,75.47
1906,JCI,Bid,76.38 x 800
1907,JCI,Ask,77.05 x 800
1908,JCI,Day's Range,75.47 - 77.11
1909,JCI,52 Week Range,44.91 - 81.15
1910,JCI,Volume,"3,318,550"
1911,JCI,Avg. Volume,"3,777,833"
1912,JPM,Previous Close,161.21
1913,JPM,Open,161.50
1914,JPM,Bid,158.31 x 1400
1915,JPM,Ask,158.80 x 1100
1916,JPM,Day's Range,157.19 - 161.83
1917,JPM,52 Week Range,118.11 - 172.96
1918,JPM,Volume,"12,676,380"
1919,JPM,Avg. Volume,"10,831,025"
1920,JNPR,Previous Close,32.33
1921,JNPR,Open,32.17
1922,JNPR,Bid,32.38 x 800
1923,JNPR,Ask,32.39 x 1000
1924,JNPR,Day's Range,32.17 - 32.64
1925,JNPR,52 Week Range,21.40 - 33.02
1926,JNPR,Volume,"1,386,364"
1927,JNPR,Avg. Volume,"2,724,848"
1928,KSU,Previous Close,308.72
1929,KSU,Open,308.55
1930,KSU,Bid,306.40 x 2200
1931,KSU,Ask,313.00 x 1200
1932,KSU,Day's Range,308.55 - 311.18
1933,KSU,52 Week Range,185.19 - 315.39
1934,KSU,Volume,"578,389"
1935,KSU,Avg. Volume,"838,106"
1936,K,Previous Close,61.93
1937,K,Open,62.42
1938,K,Bid,62.40 x 900
1939,K,Ask,63.00 x 800
1940,K,Day's Range,62.11 - 63.22
1941,K,52 Week Range,56.61 - 68.60
1942,K,Volume,"1,692,656"
1943,K,Avg. Volume,"1,974,104"
1944,KEY,Previous Close,22.83
1945,KEY,Open,22.89
1946,KEY,Bid,22.40 x 1000
1947,KEY,Ask,22.98 x 4000
1948,KEY,Day's Range,22.20 - 23.01
1949,KEY,52 Week Range,15.25 - 24.57
1950,KEY,Volume,"9,549,331"
1951,KEY,Avg. Volume,"7,707,636"
1952,KEYS,Previous Close,193.67
1953,KEYS,Open,193.50
1954,KEYS,Bid,198.02 x 900
1955,KEYS,Ask,198.10 x 800
1956,KEYS,Day's Range,193.07 - 199.93
1957,KEYS,52 Week Range,122.12 - 200.76
1958,KEYS,Volume,"1,181,975"
1959,KEYS,Avg. Volume,"888,240"
1960,KMB,Previous Close,131.76
1961,KMB,Open,132.14
1962,KMB,Bid,133.19 x 1000
1963,KMB,Ask,133.11 x 800
1964,KMB,Day's Range,132.14 - 133.85
1965,KMB,52 Week Range,125.27 - 143.37
1966,KMB,Volume,"1,466,555"
1967,KMB,Avg. Volume,"1,738,361"
1968,KIM,Previous Close,23.32
1969,KIM,Open,23.28
1970,KIM,Bid,23.17 x 4000
1971,KIM,Ask,23.93 x 1200
1972,KIM,Day's Range,23.22 - 23.66
1973,KIM,52 Week Range,13.24 - 24.95
1974,KIM,Volume,"2,582,268"
1975,KIM,Avg. Volume,"4,531,151"
1976,KMI,Previous Close,15.73
1977,KMI,Open,15.87
1978,KMI,Bid,15.59 x 21500
1979,KMI,Ask,15.59 x 3000
1980,KMI,Day's Range,15.48 - 15.87
1981,KMI,52 Week Range,13.47 - 19.29
1982,KMI,Volume,"15,220,315"
1983,KMI,Avg. Volume,"15,178,638"
1984,KLAC,Previous Close,402.53
1985,KLAC,Open,407.62
1986,KLAC,Bid,400.85 x 1100
1987,KLAC,Ask,400.82 x 800
1988,KLAC,Day's Range,394.61 - 410.91
1989,KLAC,52 Week Range,252.02 - 428.22
1990,KLAC,Volume,"1,313,073"
1991,KLAC,Avg. Volume,"1,132,758"
1992,KHC,Previous Close,33.25
1993,KHC,Open,33.34
1994,KHC,Bid,33.60 x 4000
1995,KHC,Ask,33.64 x 900
1996,KHC,Day's Range,33.31 - 33.79
1997,KHC,52 Week Range,31.60 - 44.95
1998,KHC,Volume,"8,062,740"
1999,KHC,Avg. Volume,"6,377,966"
2000,KR,Previous Close,44.65
2001,KR,Open,45.00
2002,KR,Bid,43.41 x 1400
2003,KR,Ask,43.43 x 800
2004,KR,Day's Range,42.94 - 45.12
2005,KR,52 Week Range,30.35 - 47.99
2006,KR,Volume,"12,334,391"
2007,KR,Avg. Volume,"7,713,774"
2008,LHX,Previous Close,211.15
2009,LHX,Open,211.04
2010,LHX,Bid,205.55 x 800
2011,LHX,Ask,216.28 x 1000
2012,LHX,Day's Range,210.29 - 213.79
2013,LHX,52 Week Range,168.70 - 246.08
2014,LHX,Volume,"1,055,091"
2015,LHX,Avg. Volume,"1,147,544"
2016,LH,Previous Close,289.30
2017,LH,Open,289.30
2018,LH,Bid,0.00 x 800
2019,LH,Ask,0.00 x 1000
2020,LH,Day's Range,287.59 - 294.99
2021,LH,52 Week Range,195.88 - 309.60
2022,LH,Volume,"488,853"
2023,LH,Avg. Volume,"585,324"
2024,LRCX,Previous Close,661.52
2025,LRCX,Open,668.80
2026,LRCX,Bid,659.75 x 800
2027,LRCX,Ask,660.95 x 1100
2028,LRCX,Day's Range,651.85 - 670.98
2029,LRCX,52 Week Range,465.50 - 711.83
2030,LRCX,Volume,"1,385,763"
2031,LRCX,Avg. Volume,"1,442,149"
2032,LW,Previous Close,57.83
2033,LW,Open,57.25
2034,LW,Bid,55.26 x 800
2035,LW,Ask,57.73 x 1000
2036,LW,Day's Range,55.11 - 57.38
2037,LW,52 Week Range,54.18 - 86.41
2038,LW,Volume,"3,069,897"
2039,LW,Avg. Volume,"1,391,592"
2040,LVS,Previous Close,35.59
2041,LVS,Open,35.52
2042,LVS,Bid,34.22 x 1100
2043,LVS,Ask,34.27 x 800
2044,LVS,Day's Range,33.87 - 35.55
2045,LVS,52 Week Range,33.75 - 66.77
2046,LVS,Volume,"7,055,832"
2047,LVS,Avg. Volume,"9,942,317"
2048,LEG,Previous Close,40.53
2049,LEG,Open,40.96
2050,LEG,Bid,41.32 x 3000
2051,LEG,Ask,42.69 x 800
2052,LEG,Day's Range,40.88 - 42.49
2053,LEG,52 Week Range,39.87 - 59.16
2054,LEG,Volume,"1,233,809"
2055,LEG,Avg. Volume,"841,893"
2056,LDOS,Previous Close,91.17
2057,LDOS,Open,91.34
2058,LDOS,Bid,91.91 x 800
2059,LDOS,Ask,91.97 x 800
2060,LDOS,Day's Range,90.91 - 92.24
2061,LDOS,52 Week Range,87.97 - 113.75
2062,LDOS,Volume,"609,647"
2063,LDOS,Avg. Volume,"706,445"
2064,LEN,Previous Close,113.11
2065,LEN,Open,113.92
2066,LEN,Bid,111.45 x 1000
2067,LEN,Ask,111.71 x 900
2068,LEN,Day's Range,111.00 - 114.67
2069,LEN,52 Week Range,71.23 - 114.67
2070,LEN,Volume,"2,265,465"
2071,LEN,Avg. Volume,"2,194,087"
2072,LLY,Previous Close,247.88
2073,LLY,Open,252.13
2074,LLY,Bid,245.02 x 900
2075,LLY,Ask,244.48 x 800
2076,LLY,Day's Range,243.08 - 253.48
2077,LLY,52 Week Range,146.48 - 275.87
2078,LLY,Volume,"3,504,869"
2079,LLY,Avg. Volume,"2,882,014"
2080,LNC,Previous Close,71.81
2081,LNC,Open,72.74
2082,LNC,Bid,72.57 x 1100
2083,LNC,Ask,72.72 x 800
2084,LNC,Day's Range,72.15 - 74.34
2085,LNC,52 Week Range,38.31 - 77.57
2086,LNC,Volume,"2,239,736"
2087,LNC,Avg. Volume,"1,256,530"
2088,LIN,Previous Close,324.00
2089,LIN,Open,325.18
2090,LIN,Bid,315.99 x 1400
2091,LIN,Ask,325.14 x 1000
2092,LIN,Day's Range,318.26 - 327.00
2093,LIN,52 Week Range,240.80 - 340.16
2094,LIN,Volume,"2,540,553"
2095,LIN,Avg. Volume,"1,531,296"
2096,LYV,Previous Close,106.31
2097,LYV,Open,106.56
2098,LYV,Bid,100.46 x 800
2099,LYV,Ask,100.22 x 900
2100,LYV,Day's Range,99.16 - 106.56
2101,LYV,52 Week Range,65.88 - 127.75
2102,LYV,Volume,"3,722,582"
2103,LYV,Avg. Volume,"2,266,850"
2104,LKQ,Previous Close,58.54
2105,LKQ,Open,58.84
2106,LKQ,Bid,58.86 x 900
2107,LKQ,Ask,58.87 x 800
2108,LKQ,Day's Range,58.67 - 59.42
2109,LKQ,52 Week Range,34.11 - 59.42
2110,LKQ,Volume,"971,834"
2111,LKQ,Avg. Volume,"1,630,151"
2112,LMT,Previous Close,330.53
2113,LMT,Open,331.35
