,symbol,metric,value
3445,VNO,Open,42.79
3446,VNO,Bid,44.49 x 900
3447,VNO,Ask,44.51 x 900
3448,VNO,Day's Range,43.02 - 44.60
3449,VNO,52 Week Range,30.26 - 50.91
3450,VNO,Volume,"699,887"
3451,VNO,Avg. Volume,"1,336,507"
3452,VMC,Previous Close,199.35
3453,VMC,Open,197.45
3454,VMC,Bid,192.36 x 800
3455,VMC,Ask,195.65 x 900
3456,VMC,Day's Range,190.96 - 198.39
3457,VMC,52 Week Range,134.53 - 210.16
3458,VMC,Volume,"947,315"
3459,VMC,Avg. Volume,"855,365"
3460,WRB,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3461,WAB,Previous Close,94.57
3462,WAB,Open,94.15
3463,WAB,Bid,95.38 x 1300
3464,WAB,Ask,98.00 x 800
3465,WAB,Day's Range,93.84 - 95.73
3466,WAB,52 Week Range,71.05 - 97.71
3467,WAB,Volume,"897,761"
3468,WAB,Avg. Volume,"972,937"
3469,WMT,Previous Close,135.47
3470,WMT,Open,135.86
3471,WMT,Bid,137.59 x 1300
3472,WMT,Ask,137.50 x 900
3473,WMT,Day's Range,135.29 - 137.88
3474,WMT,52 Week Range,126.28 - 152.57
3475,WMT,Volume,"13,321,498"
3476,WMT,Avg. Volume,"7,757,803"
3477,WBA,Previous Close,44.62
3478,WBA,Open,44.86
3479,WBA,Bid,46.60 x 2200
3480,WBA,Ask,46.68 x 1300
3481,WBA,Day's Range,44.53 - 46.58
3482,WBA,52 Week Range,39.03 - 57.05
3483,WBA,Volume,"12,772,886"
3484,WBA,Avg. Volume,"6,138,755"
3485,DIS,Previous Close,147.20
3486,DIS,Open,147.81
3487,DIS,Bid,146.77 x 800
3488,DIS,Ask,147.19 x 1000
3489,DIS,Day's Range,144.32 - 148.32
3490,DIS,52 Week Range,142.04 - 203.02
3491,DIS,Volume,"14,945,284"
3492,DIS,Avg. Volume,"11,795,436"
3493,WM,Previous Close,163.74
3494,WM,Open,164.30
3495,WM,Bid,163.38 x 1100
3496,WM,Ask,163.23 x 800
3497,WM,Day's Range,161.68 - 164.87
3498,WM,52 Week Range,109.11 - 168.04
3499,WM,Volume,"1,157,895"
3500,WM,Avg. Volume,"1,565,688"
3501,WAT,Previous Close,348.88
3502,WAT,Open,349.63
3503,WAT,Bid,344.31 x 800
3504,WAT,Ask,344.58 x 800
3505,WAT,Day's Range,340.63 - 351.14
3506,WAT,52 Week Range,213.41 - 428.22
3507,WAT,Volume,"537,833"
3508,WAT,Avg. Volume,"332,779"
3509,WEC,Previous Close,88.87
3510,WEC,Open,88.95
3511,WEC,Bid,84.32 x 800
3512,WEC,Ask,92.00 x 900
3513,WEC,Day's Range,88.50 - 91.37
3514,WEC,52 Week Range,80.55 - 99.86
3515,WEC,Volume,"1,401,904"
3516,WEC,Avg. Volume,"1,068,525"
3517,WFC,Previous Close,48.91
3518,WFC,Open,49.26
3519,WFC,Bid,47.76 x 1000
3520,WFC,Ask,47.78 x 1300
3521,WFC,Day's Range,47.37 - 49.26
3522,WFC,52 Week Range,28.40 - 52.57
3523,WFC,Volume,"28,831,001"
3524,WFC,Avg. Volume,"25,593,055"
3525,WELL,Previous Close,81.92
3526,WELL,Open,82.34
3527,WELL,Bid,82.99 x 900
3528,WELL,Ask,83.02 x 800
3529,WELL,Day's Range,82.16 - 83.68
3530,WELL,52 Week Range,59.38 - 89.80
3531,WELL,Volume,"1,648,866"
3532,WELL,Avg. Volume,"1,910,412"
3533,WST,Previous Close,444.66
3534,WST,Open,448.44
3535,WST,Bid,447.74 x 800
3536,WST,Ask,448.31 x 800
